Tweet id,Tweet_permalink,Tweet_text,Attribute,time,impressions,engagements,url clicks
9.78086E+17,https://twitter.com/tippingpoint/status/978086470052298753,"For your Sunday listening - Dr. Nadine Burke Harris of @CYWSanFrancisco shares her expertise on managing trauma and stress to minimize their impact on children's long-term health. #TippingPointGrantees #BeATippingPointhttps://t.co/HsTGrYfxnF",Early Childhood,2018-03-26 01:49 +0000,1399,16,3
9.7733E+17,https://twitter.com/tippingpoint/status/977329779291467777,"Fred Blackwell, CEO of @TSFF, advocates dealing with racial inequity head-on, because it's a cause of economic inequality, rather than a symptom. @pndblog https://t.co/KZSnkGthwv",Race,2018-03-23 23:42 +0000,908,7,1
9.77327E+17,https://twitter.com/tippingpoint/status/977327239346843648,"Fighting poverty requires us to build people up rather than locking them up. That's why we fund @FLYprogram_org and other education nonprofits across the Bay Area. #TippingPointGrantees #BeATippingPointhttps://t.co/4lvOs8q4H0",Poverty,2018-03-23 23:32 +0000,1107,11,1
9.77214E+17,https://twitter.com/tippingpoint/status/977213863518064640,"@rosa_phoenix @sonoma_news @NorthBayNews @SantaRosaFire @SRCSchools @SRMetroChamber @CityofSantaRosa @RedwoodCU @RebldgTogthr @exchange_bank You can see a full list of grants made to-date at https://t.co/bFkCzesQyHWe will update this page regularly as more grants are allocated, with the goal of disbursing all donations by December 2018.",Fire Relief,2018-03-23 16:01 +0000,91,7,2
9.77057E+17,https://twitter.com/tippingpoint/status/977057417321095169,Thank you #LucasFilm trivia night players! $102k raised for Bay Area nonprofits from teams like #GentlyGruntingTauntauns (favorite name weâ€™ve seen) #BeATippingPoint https://t.co/Vl8MdxyJEq,Event Promotion,2018-03-23 05:40 +0000,17606,273,18
9.76978E+17,https://twitter.com/tippingpoint/status/976978026582835202,"We were moved by Couper's story when she shared at the @ImpactHubSF day of learning hosted by @SFPublicPress. @StoriesFoghttps://t.co/2KRSIgBRzH",Homelessness,2018-03-23 00:24 +0000,1480,31,11
9.76973E+17,https://twitter.com/tippingpoint/status/976972722143031296,"""White boys who grow up rich are likely to remain that way. Black boys raised at the top, however, are more likely to become poor."" - @NYTimes describing the lifelong effects of racism and inequity.https://t.co/PGAugXbYaf",Race,2018-03-23 00:03 +0000,2758,38,9
9.76868E+17,https://twitter.com/tippingpoint/status/976868273693356032,Proud to fund @stridecenter's efforts to build an inclusive 21st century workforce! #TippingPointGrantees #BeATippingPoint https://t.co/K2BT17pAJe,Employment,2018-03-22 17:08 +0000,954,5,0
9.76623E+17,https://twitter.com/tippingpoint/status/976623306756407296,"Two new @KIPPBayArea schools will significantly increase @KIPP's capacity to serve kids in in Bayview-Hunters Point and East San Jose#TippingPointGrantees #BeATippingPointhttps://t.co/BuBfOArv2B",Education,2018-03-22 00:55 +0000,948,11,6
9.76618E+17,https://twitter.com/tippingpoint/status/976618227244548097,Proud to fund @MAFpajarito and echo their support for hardworking families like the one in this @Time article. #TippingPointGrantees #BeATippingPoint https://t.co/P9FEc2GufF,Employment,2018-03-22 00:35 +0000,832,1,0
9.76617E+17,https://twitter.com/tippingpoint/status/976616575993196544,".@TippingPoint partner @Workday hosts the Opportunity Onramps conference on April 24! Talia Nagar, our #Employment Sr. Program Officer, will moderate a panel including @UpwardlyGlobal + @StrideCenter #TippingPointGranteeshttps://t.co/uGNfEnI71V",Employment,2018-03-22 00:28 +0000,788,13,5
9.76495E+17,https://twitter.com/tippingpoint/status/976495484700311552,"What a night! Thank you @TheBonnieRaitt for bringing our community together at @foxoakland to support #NorthBayFire relief. #BeATippingPointhttps://t.co/9IL7JZO5of",Event Promotion,2018-03-21 16:27 +0000,11544,68,22
9.76244E+17,https://twitter.com/tippingpoint/status/976244006563627008,"Shout out to @LarkinStreet for $2.5 million grant from CA Office of Emergency Services to expand their programs. Together, we can #EndYouthHomelessness! #BeATippingPoint #TippingPointGrantees https://t.co/qoBgLkdwgY",Homelessness,2018-03-20 23:48 +0000,1974,44,0
9.76144E+17,https://twitter.com/tippingpoint/status/976144321010216960,@nn4youth @AWayHomeCa Looking good Brian! We love to see experts coming together to support each other and the work to #EndYouthHomelessness,Homelessness,2018-03-20 17:11 +0000,50,4,0
9.75908E+17,https://twitter.com/tippingpoint/status/975907886965534720,"Exciting expansion of available supportive housing units -- Congratulations @SF_HSH! We're fired up to continue working together to combat chronic homelessness. #BeATippingPointhttps://t.co/HQKgsKb9VD",Homelessness,2018-03-20 01:32 +0000,784,20,7
9.75901E+17,https://twitter.com/tippingpoint/status/975901327707422722,"Dir. of Public Funding at @LarkinStreet, a Tipping Point grantee, makes the case for a more humane approach to the public health needs of people experiencing homelessness. @SFExaminerhttps://t.co/suaNA3TwZo",Homelessness,2018-03-20 01:06 +0000,1180,23,5
9.75875E+17,https://twitter.com/tippingpoint/status/975874586427342848,Powerful story of a cutting edge organization! #TippingPointGrantees #BeATippingPoint https://t.co/3G4z2eUmUH,Nonprofits,2018-03-19 23:20 +0000,652,5,0
9.75052E+17,https://twitter.com/tippingpoint/status/975051547158577152,"Candacy Jeffrey, @YearUp alumna shares her story of working hard to seize every opportunity, while adjusting to living in a country where most people have to work to afford an education. @Forbes #TippingPointGrantees #BeATippingPointhttps://t.co/KWCZVT9BDx",Education,2018-03-17 16:49 +0000,1983,22,4
9.74788E+17,https://twitter.com/tippingpoint/status/974787905053868032,"New research that can help any parent set their child up for success. We're proud to support nonprofits throughout the Bay Area that focus on early childhood wellness for low-income families.@HPP_SF @CYWSanFrancisco @NFP_nursefamilyhttps://t.co/9XseRO48lb",Early Childhood,2018-03-16 23:22 +0000,1160,21,6
9.74439E+17,https://twitter.com/tippingpoint/status/974438668248035328,"At its core, the homelessness crisis results from a lack of affordable housing. @CityLab + @NLIHC reveal the extent of the problem across all 50 states:https://t.co/g16BxjGc5J",Homelessness,2018-03-16 00:14 +0000,1345,19,9
9.74076E+17,https://twitter.com/tippingpoint/status/974075922784567296,"After the #NorthBayFires, 4x more people are living in tent encampments amidst a 0% rental vacancy. Help us support the work of groups like @CathCharSRosa at https://t.co/bFkCzesQyHhttps://t.co/3O8UUZ6Emr",Fire Relief,2018-03-15 00:12 +0000,1269,5,0
9.74073E+17,https://twitter.com/tippingpoint/status/974072850469371904,"â€œ...the hope is: We built these systems. We can build new ones.â€ù@c4innovates CEO @jeffolivet cautiously optimistic as he discusses a recent study underlining the relationship between structural racism and homelessness.https://t.co/OctNc9uc1K",Race,2018-03-15 00:00 +0000,1742,30,8
9.74041E+17,https://twitter.com/tippingpoint/status/974040875339673601,"Shout out to @KidAlliance for their leadership on this bill to remove red tape and guarantee extended family members the resources they need to provide foster youth a stable home. An exciting and important development in the fight to #EndYouthHomelessness https://t.co/ito06sdVWk",Homelessness,2018-03-14 21:53 +0000,1179,7,0
9.73972E+17,https://twitter.com/tippingpoint/status/973972029677322240,Our #SFGives partner @BoxHQ just announced the expansion of #BoxOrg via @TidesCommunity and several other programs for Boxers to invest in their communities. Thank you for leading the way! #CSR #BeATippingPoint https://t.co/XFtaWfmvou,Corporate Social Responsibility,2018-03-14 17:20 +0000,1030,17,8
9.73732E+17,https://twitter.com/tippingpoint/status/973731834965012481,"Ismael balances his roles as student, caregiver for three siblings, and worker--all without stable housing. We must do better for him and thousands like him. @LATimes #BeATippingPointhttps://t.co/EFPCgKWhl5",Homelessness,2018-03-14 01:25 +0000,751,24,9
9.73357E+17,https://twitter.com/tippingpoint/status/973357350286368770,"Founder + CEO of @pathpartners asks critical questions about how the innovative power of our region could be used to better address the crisis of homelessness. @Recodehttps://t.co/ZClIXKXP46",Homelessness,2018-03-13 00:37 +0000,5565,62,23
9.73236E+17,https://twitter.com/tippingpoint/status/973235793140465664,"26.2% of Americans are people of color, but non-white folks account for 78.3% of the homeless population. @c4innovates goes in-depth to understand the structures that drive this disparity.https://t.co/xT3KER6v0Y",Race,2018-03-12 16:34 +0000,1465,32,7
9.7254E+17,https://twitter.com/tippingpoint/status/972540210318725120,"Big thanks to @RBC + @CityNational for honoring Tipping Point as a beneficiary! Sign up to ride today:https://t.co/awn1Smw6pN",Event Promotion,2018-03-10 18:30 +0000,545,4,1
9.72272E+17,https://twitter.com/tippingpoint/status/972272451731185665,Thank you @ProjectOpenHand for hosting our annual Day of Service! It was awesome working alongside you to serve our neighbors. #MealsWithLove #BeATippingPoint https://t.co/zZBxUNwOGa,Event Promotion,2018-03-10 00:46 +0000,1157,20,5
9.72226E+17,https://twitter.com/tippingpoint/status/972225511077306368,Proud to support the work of @LarkinStreet + @SFStateGSP helping former foster youth and other young people in San Francisco flourish. #EndYouthHomelessness #BeATippingPoint https://t.co/TfFzChOsWD,Homelessness,2018-03-09 21:39 +0000,1000,5,0
9.71924E+17,https://twitter.com/tippingpoint/status/971923758435860481,".@SacBee explores a new report from League of CA Cities + CA State Assoc. of Counties on the tools and programs fighting homelessness across our state. Which solutions do you think are the most promising?https://t.co/YEuOeWYuXE",Homelessness,2018-03-09 01:40 +0000,749,12,3
9.71906E+17,https://twitter.com/tippingpoint/status/971905526073208832,"Happy #InternationalWomensDay! #TBT Last April, we met Joann + Michelle, two Oakland moms who worked with @NFP_nursefamily to make the most of their first two years of motherhood. Photo Cred: @TravisJensen https://t.co/L12bcMzjrV",Early Childhood,2018-03-09 00:28 +0000,2350,36,0
9.71554E+17,https://twitter.com/tippingpoint/status/971554209534394368,"It was true in January, it remains true today - 70% of American teachers support #DACA and the #Dreamers. In their own words in @EdWeek, see why:https://t.co/R2Y205FQ16 https://t.co/LBiU57CLZH",Education,2018-03-08 01:12 +0000,1267,10,1
9.71548E+17,https://twitter.com/tippingpoint/status/971547988945395713,"A deep dive from @EdTrust looks at the experience of Latino teachers, their unique challenges, and the value they add to classrooms across America. #BeATippingPoint https://t.co/JL2g5caXa3",Education,2018-03-08 00:47 +0000,1325,7,0
9.71533E+17,https://twitter.com/tippingpoint/status/971533365416374273,"@nonprofit_hr Thanks for helping spread the word @nonprofit_hr! We're fired up to share what we're learning and advance the conversation on #diversity, #equity and #inclusion.",Race,2018-03-07 23:49 +0000,106,1,0
9.71202E+17,https://twitter.com/tippingpoint/status/971201685161848833,"Do you or someone you know have questions about rebuilding in the wake of the #NorthBayFires? Our friends at Legal Aid of Sonoma County have answers - this Saturday at 2pm. @PressDemocrathttps://t.co/aINLlNzLHx",Fire Relief,2018-03-07 01:51 +0000,768,3,0
9.71188E+17,https://twitter.com/tippingpoint/status/971187966918901760,"Our community is stronger when all our neighbors can live without uncertainty or fear. We continue to call on Congress to pass the #DreamActNow @LATimeshttps://t.co/i7NfIhJm1I",Immigration,2018-03-07 00:57 +0000,945,11,0
9.71183E+17,https://twitter.com/tippingpoint/status/971182802845630464,"""Our children deserve to have teachers and mentors who embody Black excellence and serve as role models.""Principal of @RocketshipEd in Nashville on the importance of diversity + inclusion in our education system. #BeATippingPoint https://t.co/o2l5qhwGP3",Race,2018-03-07 00:36 +0000,731,5,0
9.70833E+17,https://twitter.com/tippingpoint/status/970833088912633856,"The fires are over, but the crisis persists. @CathCharSR is one of many groups we're working with to help vulnerable communities in the North Bay rebuild. @sonomastatestar #SonomaStrong #BeATippingPointhttps://t.co/o9zJsegRRr",Fire Relief,2018-03-06 01:27 +0000,572,4,1
9.6971E+17,https://twitter.com/tippingpoint/status/969710091652902912,"Awesome event at @bluxomewinery last night, thanks to all who attended, and special thanks to @kkellyjanus + @ahperkins for sharing guidance on making an impact. #BeATippingPointhttps://t.co/rfRkAYVNup",Event Promotion,2018-03-02 23:04 +0000,1159,19,5
9.69704E+17,https://twitter.com/tippingpoint/status/969704467024175104,"As our Founder + CEO @DanielLurie likes to say, ""why have a rainy day fund when it's already raining?"" We're working hard to mobilize millennial donors to use their energy to build a better Bay Area. @Spearswmshttps://t.co/xGQ9WIH8td",Philanthropy,2018-03-02 22:42 +0000,909,9,1
9.69389E+17,https://twitter.com/tippingpoint/status/969388731219132416,".@Beyond12 supports low-income, first-generation students on their path through college. Since 2015, they've nearly doubled the number of Bay Area students receiving intensive coaching through their program, and are on track to scale even further in 2018! #BeATippingPoint https://t.co/6gODMxV1AX",Education,2018-03-02 01:47 +0000,762,18,0
9.69388E+17,https://twitter.com/tippingpoint/status/969388051947446272,"These kids know what it means to #BeATippingPoint! We're proud to co-sponsor #SB918, @SenScottWiener + @AsmBlancaRubio's bill to create a California Office of Homeless Youth and focus $60 million towards ending youth homelessness. @fox5sandiegohttps://t.co/uVVbDq3KCy",Homelessness,2018-03-02 01:44 +0000,953,19,5
9.69331E+17,https://twitter.com/tippingpoint/status/969330925866598400,@JenO_PH @HUDgov @SHELTERIncCCC Thank you for helping us spread the word! We're fired up about #SB918 - shout out to @Scott_Weiner + @AsmBlancaRubio and our co-sponsors  @eqca @housingca @calyouth @JBAforYouth @CSHInfo,Homelessness,2018-03-01 21:57 +0000,574,5,0
9.69032E+17,https://twitter.com/tippingpoint/status/969032196429197312,"Last year alone, @TFABayArea teachers served 22,620 students throughout the Bay Area. We're proud to support their efforts! #BeATippingPoint https://t.co/MzD5ZAbvab",Education,2018-03-01 02:10 +0000,1169,16,1
9.69022E+17,https://twitter.com/tippingpoint/status/969021894061047809,".@LarkinStreet supports homeless youth with wraparound services and a community of care. Last year, they placed 69 youth in permanent housing. #BeATippingPoint https://t.co/ffegqwtyyc",Homelessness,2018-03-01 01:29 +0000,958,10,0
9.6872E+17,https://twitter.com/tippingpoint/status/968720257606090753,.@TippingPoint is proud to support the bill to create an Office to Prevent and End Youth Homelessness with @LarkinStreet @Scott_Weiner @AsmBlancaRubio @eqca @housingca @calyouth @JBAforYouth @CSHInfo #EndYouthHomelessness #SB918 #BeATippingPoint https://t.co/kQPgikRkor,Homelessness,2018-02-28 05:31 +0000,3373,82,2
9.68662E+17,https://twitter.com/tippingpoint/status/968661884386734081,".@GenesysWorksBA sets young people on a path to prosperity through internships and professional skills development. Last year alone they placed over 100 low-income high school seniors at companies throughout the region, 96% of whom went on to enroll in college. #BeATippingPoint https://t.co/GMsZGROuX5",Employment,2018-02-28 01:39 +0000,1237,11,0
9.68296E+17,https://twitter.com/tippingpoint/status/968295850114916352,".@CompassSF has served homeless families in San Francisco for over a century. We are proud to support their work - last year alone, they moved 105 previously homeless families into permanent housing. #BeATippingPoint https://t.co/xmvzRb6ksN",Homelessness,2018-02-27 01:24 +0000,1295,14,0
9.68237E+17,https://twitter.com/tippingpoint/status/968236608691425280,"@IanRountree @MikeIsaac Check out our current grantees to find the best nonprofits providing housing, education, employment + early childhood development services in the Bay Area! https://t.co/5tYWALIffE",Nonprofits,2018-02-26 21:29 +0000,59,2,1
9.67827E+17,https://twitter.com/tippingpoint/status/967826865720147968,"@collegetrack helped send over 1,400 low-income, first generation students to college in the last year alone. This is what it takes to build a stronger Bay Area. #BeATippingPoint https://t.co/63NbL53dul",Education,2018-02-25 18:21 +0000,80,1,0
9.67194E+17,https://twitter.com/tippingpoint/status/967193925420109824,"Nationwide, 3% of former foster youth graduate from college. @SFStateGSP supports former foster youth every step of the way, graduating 70% of their participants within 6 years.  #BeATippingPoint https://t.co/dw7IdcGZGW",Education,2018-02-24 00:26 +0000,1503,11,0
9.66846E+17,https://twitter.com/tippingpoint/status/966846300758056960,28% of low-income Americans work non-standard work hours (outside of 9-5) and face higher childcare costs as a result. T Lab is partnering with @ROCUnited to design an alternative. https://t.co/dZuCPAO4lS,R+D,2018-02-23 01:24 +0000,1139,6,0
9.66485E+17,https://twitter.com/tippingpoint/status/966485488927367168,"@LarkinStreet's community of care helps young people experiencing homelessness build a path out of poverty. Last year, 61 young people completed job programs, and 76 enrolled in post-secondary education. #BeATippingPoint https://t.co/Z6SvPWUmZD",Homelessness,2018-02-22 01:31 +0000,618,12,1
9.65273E+17,https://twitter.com/tippingpoint/status/965273242821828608,"We have a lot of work to do to build an inclusive economy with opportunity for all, and it starts right here in the Bay Area. @CalMatters shares data and details on what it will take to get there.https://t.co/GF40LpjIBt",Data,2018-02-18 17:14 +0000,1221,16,4
9.64584E+17,https://twitter.com/tippingpoint/status/964584417799766016,Fired up to see @reyfaustino + @1Deg featured for their incredible service to our community! #BeATippingPoint #techforgood https://t.co/RjFxQCw0Ik,Nonprofits,2018-02-16 19:37 +0000,1219,3,0
9.64306E+17,https://twitter.com/tippingpoint/status/964306073573236736,"What sets @RocketshipEd apart? Dedicated educators and a spirit of inclusion and opportunity are just the beginning, read more with @NCalNewshttps://t.co/NrZI2k77q6 https://t.co/RQPchZmiaJ",Education,2018-02-16 01:10 +0000,1731,14,3
9.64193E+17,https://twitter.com/tippingpoint/status/964192755697139712,We need common sense reforms to lower barriers to foster care supports for older youth. Proud to stand beside @KidAlliance @calyouth + @clccal in support of @AsmMikeGipson's AB 2337. #EndYouthHomelessness #MakePovertyPreventable https://t.co/IGUwORynH7,Homelessness,2018-02-15 17:40 +0000,1501,14,0
9.63952E+17,https://twitter.com/tippingpoint/status/963951725504733185,"Strong mentorship bonds and an emphasis on equity for all students - how @NTC is raising the standards in classrooms across America. @EdWeekhttps://t.co/ovi0trLtch",Education,2018-02-15 01:42 +0000,1110,3,1
9.63941E+17,https://twitter.com/tippingpoint/status/963940529967804416,"Legal Aid of Sonoma County are stepping up to help our neighbors navigate process of recovery after the North Bay fires. @CBSSFhttps://t.co/GNMbiUdLE7",Fire Relief,2018-02-15 00:58 +0000,6418,23,9
9.63921E+17,https://twitter.com/tippingpoint/status/963921417690497030,Thank you for stopping by! We're fired up to work with the @funderstogether network to tackle homelessness in the Bay Area. https://t.co/Ej3CuBNJCl,Philanthropy,2018-02-14 23:42 +0000,1298,6,0
9.63857E+17,https://twitter.com/tippingpoint/status/963857132939390976,"From 2006 to 2018 and beyond, we are proud to support the @FPFY family of dedicated staff and former foster youth. #BeATippingPoint #EndYouthHomelessness https://t.co/YhvDWxux6V",Homelessness,2018-02-14 19:27 +0000,1971,12,0
9.636E+17,https://twitter.com/tippingpoint/status/963600387545550850,"Spotlight on Naomi Fuchs, CEO of @SRCH. Naomi is an indispensable leader in the effort to recover and rebuild after the North Bay fires, and we are proud to support her efforts. @SFChroniclehttps://t.co/huqeulseR6",Fire Relief,2018-02-14 02:26 +0000,1345,10,1
9.63587E+17,https://twitter.com/tippingpoint/status/963586586460897280,"Our friends and partners at @Box walk the walk when it comes to corporate social responsibility. Read on to see how your employer can do even more to build a better Bay Area.https://t.co/RCg6v3Wa11",Corporate Social Responsibility,2018-02-14 01:31 +0000,1647,22,10
9.6323E+17,https://twitter.com/tippingpoint/status/963229827024109568,"We walk every day in the shadow of history. Only by confronting systemic racial inequity can we truly hope to combat poverty, in the Bay Area and nationwide. @PacificStand @eji_org #BlackHistoryMonth https://t.co/l5GzLwTAay",Race,2018-02-13 01:54 +0000,2283,32,13
9.63099E+17,https://twitter.com/tippingpoint/status/963098843511324672,"Thank you @SFPublicPress for convening this group of experts, advocates and community members to grapple with the most critical issue facing our city. Let's keep the conversation going!https://t.co/FYPirxFloH https://t.co/nIdNNTz7Ob",Homelessness,2018-02-12 17:13 +0000,905,3,0
9.62122E+17,https://twitter.com/tippingpoint/status/962122125350973440,"Congratulations, @calibercampus on the new home for Beta Academy! We're fired up to see you grow and serve even more students! @RichmonStandard https://t.co/8JPsGvAD26",Education,2018-02-10 00:32 +0000,909,4,0
9.61781E+17,https://twitter.com/tippingpoint/status/961781022919606272,"Hear from @KALW about Oakland's bold plan to invest in college readiness and persistence for low-income students.https://t.co/LYPPZak4Km",Education,2018-02-09 01:57 +0000,853,7,1
9.61778E+17,https://twitter.com/tippingpoint/status/961778064505028608,"San Francisco is leading the way towards greater equity in criminal justice by adopting common sense reform that removes a major obstacle for low-income returning citizens. @sfchroniclehttps://t.co/xxJL1uWRYQ",Criminal Justice,2018-02-09 01:45 +0000,1019,8,1
9.61688E+17,https://twitter.com/tippingpoint/status/961687790676135936,@CharityNav @OCCoastkeeper @InnerCityArts Thank you! Fired up to be highlighted in such a high-impact group!,Nonprofits,2018-02-08 19:46 +0000,116,0,0
9.61687E+17,https://twitter.com/tippingpoint/status/961687472462733312,"Honored to @CharityNav highlight our work as part of their #California tour!https://t.co/qwmxyRKtVV",Nonprofits,2018-02-08 19:45 +0000,2279,9,0
9.61416E+17,https://twitter.com/tippingpoint/status/961415592812032000,"We stand with @MAFpajarito in support of #Dreamers. They make our community stronger, they should be #HereToStay https://t.co/QboOxFloQY",Immigration,2018-02-08 01:45 +0000,1077,8,0
9.61414E+17,https://twitter.com/tippingpoint/status/961414066492379136,"Chan Zuckerberg's exciting investment in @NewTeacherCtr will lift up Ravenswood educators and help them better-serve their students, 44% of whom identify as homeless. @mercnews https://t.co/AZON7O3Q1P",Education,2018-02-08 01:39 +0000,927,6,0
9.6106E+17,https://twitter.com/tippingpoint/status/961060178765348864,"Honoring #BlackHistoryMonth means celebrating people's full stories, especially when they challenge us to do more to fight for racial + economic justice. @Guardianhttps://t.co/EErjapfl5N",Race,2018-02-07 02:12 +0000,822,5,0
9.6105E+17,https://twitter.com/tippingpoint/status/961049818293444608,"In partnership with @CA_EDD + @OppJunction, we're digging into wage data to understand our grantees' impact better than ever.https://t.co/F12hDOjwhM",Data,2018-02-07 01:31 +0000,1154,10,0
9.60982E+17,https://twitter.com/tippingpoint/status/960982182180274176,Fired up to work with @FLYprogram_org youth to learn from their experience and craft model programs. #BeATippingPoint https://t.co/bOQee5yo0h,R+D,2018-02-06 21:03 +0000,1193,7,0
9.60682E+17,https://twitter.com/tippingpoint/status/960682120413786112,"Founder @abernadotte drew from her own experience to create @beyond12, which now supports hundreds of thousands of low-income and first-generation college students. @BostonGlobe https://t.co/yPh1pIwmUp",Education,2018-02-06 01:10 +0000,934,9,1
9.59586E+17,https://twitter.com/tippingpoint/status/959585976652775427,".@AspenInstitute profiles an exciting partnership between @SFOEWD + @Samaschool, a Tipping Point grantee, to prepare low-income workers for success in the gig economy.https://t.co/D3nBpY7vaf",Employment,2018-02-03 00:34 +0000,977,13,4
9.59313E+17,https://twitter.com/tippingpoint/status/959312866376499200,Our fight against poverty is possible because of your dedication and support. Thank you for joining us tonight. #BeATippingPoint,Philanthropy,2018-02-02 06:29 +0000,942,6,0
9.59279E+17,https://twitter.com/tippingpoint/status/959278838747299840,"To our partners and grantee leaders working to bring economic justice to the Bay Area, in the words of our Board chair Chris James - â€œyou are doing the hardest work in the hardest place.â€ù",Philanthropy,2018-02-02 04:14 +0000,1437,20,0
9.59243E+17,https://twitter.com/tippingpoint/status/959242743691190272,"Building community for foster youth makes @SFSU and the whole Bay Area stronger. Shout out to @SFStateGSP for supporting these young people. @ABC7Newshttps://t.co/taNb5RWSCF",Education,2018-02-02 01:51 +0000,1216,7,0
9.59202E+17,https://twitter.com/tippingpoint/status/959201917451685888,"Our corporate partners inspire us with their leadership, from building inclusive talent practices to supporting fire relief. We need Bay Area businesses to play an even larger role to help move the needle on homelessness and #MakePovertyPreventable. https://t.co/HHKaA3Qxfr",Homelessness,2018-02-01 23:08 +0000,4531,22,0
9.58865E+17,https://twitter.com/tippingpoint/status/958865199460597762,"""Childhood adversity literally gets under our skin and has the potential to change our health... But we can do something about it."" @DrBurkeHarris, from San Francisco's @CYWSanFrancisco, in a powerful interview with the @NYTimes.https://t.co/0Na5dk2ISz",Early Childhood,2018-02-01 00:50 +0000,2406,48,14
9.5851E+17,https://twitter.com/tippingpoint/status/958509567301763072,"Dr. Margot Kushel of @UCSFHospitals lays out the compounding health risks of homelessness, and points to affordable housing as a critical component of treating and healing people experiencing homelessness. @NEJMhttps://t.co/zBxFJS4R1V",Homelessness,2018-01-31 01:17 +0000,2363,22,2
